part_id,"label "
part_barbels,"Barbels "
part_body,"Body "
part_breasts,"Breasts "
part_cock_body,"Cock body "
part_cock_head,"Cock head "
part_conjoined_bodies,Conjoined bodies
part_crest,"Crest "
part_dragon_tail,"Dragon tail "
part_eye_knee,"Eye knee "
part_feet,Feet
part_female_genitals,Female genitals
part_fifty_dog_heads,"Fifty dog heads "
part_fluff_skin,"Fluff skin "
part_four_fingers,"Four fingers "
part_genitals_reversed,"Genitals reversed "
part_goat_head,"Goat head "
part_goat_lower_body,"Goat lower body "
part_head,"Head "
part_horn,"Horn "
part_horse_lower_body,"Horse lower body "
part_huge_nose,"Huge nose "
part_human_upper_body,"Human upper body "
part_legs,"Legs "
part_lion_head,"Lion head "
part_lion_upper_body,"Lion upper body "
part_lizard_lower_body,"Lizard lower body "
part_lizard_tail,"Lizard tail "
part_lower_limbs,Lower Limbs
part_male_genitals,"Male genitals "
part_mane,"Mane "
part_multiple_head,"Multiple head "
part_multiple_limbs,"Multiple limbs "
part_red_and_gold_feathers,"Red and gold feather "
part_rough_skin,"Rough skin "
part_serpent_body,"Serpent body "
part_sharp_eyes,"Sharp eyes "
part_snake_head,"Snake head "
part_snake_tail,"Snake tail "
part_snakes_hair,"Snakes hair "
part_three_heads_dog,"Three heads dog "
part_three_lines_of_teeth,"Three lines of teeth "
part_two_horns,"Two horns "
part_underbelly_gems,"Underbelly gems "
part_wings,Wings
part_fish_tail,"Fish tail "
part_masculinity,"Masculinity "
part_two_genitals,"Two genitals "
part_four_ears,"Four ears "
part_two_faces,Two faces
part_four_feet,"Four feet "
part_four_hands,"Four hands "
part_straight_mane,"Straight mane "
part_curly_mane,"Curly mane "
part_fruits,"Fruits "
part_leaves,"Leaves "
part_bronze_hands,"Bronze Hands "
part_multiple_heads,"Multiple Heads "
part_big_eyes,"Big eyes "
part_purple_legs,"Purple legs "
part_long_ears,"Long ears "
part_bird_limbs,"Birds lims "
part_bird_wings,"Bird wings "
part_moist_body,"Moist body "
part_eyes_on_temples,"Eyes on templates "
part_green_skin,"Green skin "
part_digestive_system,"Digestive system "
part_skin,"Skin "
part_genitals,"Genitals "
part_scales_dragon,"Scales Dragon "
part_multiple_dentition,"Multiple dentition "
