creature_id,label_en,alt_name,etymology_id,type,diet,habitat_id,abilities,head_of,body_of,has_upper_body_of,has_lower_body_of,tail_of,upper_limbs_of,lower_limbs_of,distinctive_trait,has_additional_part,part_derived_from,has_absence_of,has_duplication_of,has_modification_of,origin_context,,:RealAnimal :hasAnomaly :AnatomicalPart,:CompositeCreature :hasPartDerivedFrom :RealAnimal,:CompositeCreature
creature_ant,Ant,,etymology_ant,RealAnimal,Omnivorous,habitat_terrestrial,,,,,,,,,,,,,,,,,,,
creature_antlion,Ant-Lion,Myrmecoleon,etymology_antlion,HybridCreature,,habitat_terrestrial,,creature_lion,,creature_lion,creature_ant,,creature_lion,creature_ant,,,,,,,source_septuagint,,,,
creature_basilisk,Basilisk,"Basilicock, Sibilus",etymology_basilisk,ImaginaryCreature,Carnivorous,habitat_dry_places,ability_killing_gaze;ability_lethal_breath;ability_lethal_hiss;ability_lethal_odor;ability_poisonous,creature_snake,creature_snake,,,creature_snake,,,,part_crest,,,,,GreekNaturalHistory,,,,
creature_bull,Bull,,etymology_bull,RealAnimal,Herbivorous,habitat_terrestrial,ability_strenght,,,,,,,,,,,,,,,,,,
creature_centaur,Centaur ,"Hippocentaurus, Sagitarius",etymology_centaur,HybridCreature,Omnivorous,habitat_mountains;habitat_forests,ability_archery,creature_human,,creature_human,creature_horse,creature_horse,creature_horse,creature_horse,,,,,,,GreekMythology,,,,
creature_chimera,Chimera,Chimaera,etymology_chimera,HybridCreature,Carnivorous,habitat_mountains,ability_fire_breathing,creature_lion,,creature_lion,creature_goat,creature_snake,,,,part_snake_head;part_goat_head,,,,,GreekMythology,,,,
creature_cow,Cow,,etymology_cow,RealAnimal,Herbivorous,habitat_terrestrial,,,,,,,,,,,,,,,,,,,
creature_dragon,Dragon,,etymology_dragon,ImaginaryBeing,Carnivorous,habitat_aerial,ability_fly;ability_fire_breathing,,creature_snake,,,,,,,"part_wings, part_crest",,,,,GreekMythology,,,,
creature_eagle,Eagle,,etymology_eagle,RealAnimal,Carnivorous,habitat_aerial,ability_fly,,,,,,,,,,,,,,,,,,
creature_elf,Elf,,etymology_elf,ImaginaryBeing,Omnivorous,habitat_terrestrial;habitat_forests,ability_immortal,,,,,,,,,,,,,,NordicFolklore,,,,
creature_fairy,Fairy ,,etymology_fairy,ImaginaryBeing,Herbivorous,habitat_terrestrial;habitat_forests,ability_magical_powers;ability_fly,,creature_human,,,,,,,part_wings,,,,,CelticFolklore,,,,
creature_fish,Fish,,etymology_fish,RealAnimal,Omnivorous,habitat_aquatic,ability_swim,,,,,,,,,,,,,,,,,,
creature_giant,Giant ,,etymology_giant,ImaginaryBeing,Omnivorous,habitat_terrestrial,ability_strenght,,creature_human,,,,,,,,,,,,GreekMythology,,,,
creature_goat,Goat,,etymology_goat,RealAnimal,Herbivorous,habitat_mountains,,,,,,,,,,,,,,,,,,,
creature_hermaphrodite,Hermaphrodite,Androgynous,etymology_hermaphrodite,RealAnimal,Elemental,habitat_terrestrial,ability_strenght,,creature_human,,,,,,,male_genitals;breasts,"female, male",,,,GreekMythology,,,,
creature_hippogriff,Hippogriff,Hippogryph,etymology_hippogriff,HybridCreature,Carnivorous,habitat_aerial,ability_fly,creature_eagle,creature_horse,creature_eagle,creature_horse,creature_horse,creature_eagle,creature_horse,,part_wings,,,,,Renaissance,,,,
creature_horse,Horse,,etymology_horse,RealAnimal,Herbivorous,habitat_terrestrial,ability_speed,,,,,,,,,,,,,,,,,,
creature_lion,Lion,,etymology_lion,RealAnimal,Carnivorous,habitat_terrestrial,ability_strenght;ability_courage,,,,,,,,,,,,,,,,,,
creature_mandrake,Mandrake,Mandragora,etymology_mandrake,CompositeCreature,diet_autotrophic,habitat_terrestrial,ability_deadly_scream,creature_human,Plant,,creature_human,,,creature_human,,,Plant,,,,GreekMythology,,,,
creature_manticore,Manticore,,etymology_manticore,HybridCreature,diet_man_eater,"habitat_terrestrial, India",ability_poisonous,creature_human,creature_lion,,,creature_scorpion,,,,part_three_lines_of_teeth,,,,,PersianMythology,,,,
creature_medusa,Medusa,Gorgon,etymology_medusa,HybridCreature,,habitat_terrestrial,ability_petrifying_gaze,creature_human,creature_human,,,,,,"""Medusa has snakes instead of hair.""",part_snake_hair,,,,,GreekMythology,,,,
creature_minotaur,Minotaur,Asterion,etymology_minotaur,HybridCreature,Carnivorous,habitat_labyrinth,,creature_bull,creature_human,,,creature_bull,creature_human,creature_human,,,,,,,GreekMythology,,,,
creature_ogre,Ogre,,etymology_ogre,ImaginaryBeing,diet_man_eater,habitat_terrestrial;habitat_forests,ability_strenght,creature_human,creature_human,,,,,,Immense body,,,,,,MedievalFolklore,,,,
creature_onager,Onager,,,,,,,,,,,,,,,,,,,,,,,,
creature_onocentaur,Onocentaur,,etymology_onocentaur,HybridCreature,,,,creature_huaman,,creature_human,creature_onager,creature_onager,,,,,,,,,,,,,
creature_pegasus,Pegasus,,etymology_pegasus,ImaginaryBeing,Herbivorous,habitat_aerial,ability_fly,,creature_horse,,,,,,,part_wings,,,,,GreekMythology,,,,
creature_phoenix,Phoenix,,etymology_phoenix,ImaginaryBeing,Elemental,habitat_terrestrial;habitat_forests,ability_immortal;ability_self-renewal,,,,,,,,"""Phoenix is known for being immortal - it regenerates from its own ashes.""",part_red_and_gold_feathers,creature_eagle,,,,GreekMythology,,,,
creature_satyr,Satyr,"Faun, Silenus",etymology_satyr,HybridCreature,Omnivorous,habitat_terrestrial; habitat_woods; habitat_mountain,ability_play_the_flute;ability_dance,creature_human,,creature_human,creature_goat,creature_goat,,creature_goat,,part_two_horns,,,,,GreekMythology,,,,
creature_scorpion,Scorpion,,etymology_scorpion,RealAnimal,Carnivorous,habitat_terrestrial,ability_poisonous,,,,,,,,,,,,,,,,,,
creature_siren,Siren,"Mermaid, Tritonesses",etymology_siren,HybridCreature,Carnivorous,habitat_aquatic,ability_sing,creature_human,,creature_human,,creature_fish,creature_human,,,,,,,,MedievalFolklore,,,,
creature_snake,Snake,,etymology_snake,RealAnimal,Carnivorous,habitat_terrestrial,ability_poisonous,,,,,,,,,,,,,,,,,,
creature_sphinx,Sphinx,"Great Sphinx of Giza, Androsphinx",etymology_sphinx,HybridCreature,Carnivorous,habitat_terrestrial,,creature_human,ceature_lion,,,creature_lion,creature_lion,creature_lion,,,,,,,AncientEgypt,,,,
creature_troll,Troll,,etymology_troll,ImaginaryBeing,Carnivorous,habitat_terrestrial; habitat_woods ,ability_accumulate_treasures,creature_human,creature_human,,,creature_cow,creature_human,creature_human,,part_four_fingers;huge_nose;rough_skin,,,,,NordicFolklore,,,,
creature_unicorn,Unicorn,Monocerus,etymology_unicorn,HybridCreature,Herbivorous,habitat_terrestrial;habitat_forests,ability_purify_water,creature_horse,creature_horse,,,,,,,part_horn,,,,,GreekNaturalHistory,,,,
