interpretation_id,creature_id ,source_id,personal_name,distinctive_trait,archetype_id,narrative_function_id,additional_part,removed_part,additional_ability,removed_ability,alternative_diet ,alternative_habitat,has_genesis,citation_id
int_anomaly_aldrovandi_1,creature_hairy_girl,source_monstrorum_historia_aldrovandi,,,,,,,,,,,,citation_aldrovandi_4
int_anomaly_aldrovandi_2,creature_acephalus,source_monstrorum_historia_aldrovandi,,,,,,,,,,,,citation_aldrovandi_10
int_anomaly_aldrovandi_3,creature_conjoined,source_monstrorum_historia_aldrovandi,,,,,,,,,,,,citation_aldrovandi_11
int_anomaly_paré_1,creature_hairy_girl,source_monstres_prodiges,,,,,,,,,,,genesis_anomaly_paré_1,citation_paré_2
int_anomaly_paré_2,creature_polycephalus_sheep,source_monstres_prodiges,,,,,,,,,,,,citation_paré_5
int_anomaly_paré_3,creature_acephalus,source_monstres_prodiges,,,,,,,,,,,genesis_anomaly_paré_3,citation_paré_8
int_anomaly_paré_4,creature_conjoined,source_monstres_prodiges,,,,,,,,,,,genesis_anomaly_paré_4,citation_paré_9
int_antlion_flaubert,creature_antlion,source_flaubert_tentation,,,,,part_genitals_reversed,,,,,,,citation_flaubert_3
int_antlion_isidore,creature_antlion,source_etymologies,,,,,,,,,,,,citation_isidore_5
int_antlion_physiologus,creature_antlion,source_physiologus,,,,,,,,,diet_none,,,citation_physiologus_1
int_antlion_septuagint,creature_antlion,source_septuagint,,,,,,,,,,,,citation_job_4_11
int_basilisk_isidore,creature_basilisk,source_etymologies,,,,,,,,,,,,citation_isidore_6
int_basilisk_lucano,creature_basilisk,source_pharsalia,,,,,,,,,,,,citation_pharsalia_1
int_basilisk_plinio,creature_basilisk,source_naturalis_historia,,,,,,,,,,,,citation_plinio_8
int_basilisk_rowling_fantastic,creature_basilisk,source_fantastic_beasts,,,,,,,,,,,,citation_rowling_8
int_basilisk_rowling_harry,creature_basilisk,source_harry_potter_book_2,,,archetype_guardian_threshold,function_guardian,,,ability_petrifying_gaze,,,habitat_chamber_of_secrets,,citation_rowling_9
int_basilisk_theophilus,creature_basilisk,source_schedula_theophilus,,,,,"part_cock_body, part_cock_head",part_serpent_body,,,,,,citation_theophilus_1
int_bull_cantimpre,creature_bull,source_liber_de_natura_rerum,,,archetype_emasculation,,,,,,,,,citation_cantimpre_3
int_bull_ovid,creature_bull,source_ovidius_metamorphoses,,,archetype_divine_power,function_agent,,,,,,,,citation_ovid_met_11
int_centaur_dante,creature_centaur,source_dante_inferno,Chirone ,,archetype_guardian_hell;archetype_wisdom,function_guide,,,ability_healing,,,habitat_hell,,citation_dante_inferno_7
int_centaur_dante2,creature_centaur,source_dante_inferno,Nesso,,archetype_guardian_hell;archetype_violence;archetype_predatory_lust,,,,,,,habitat_hell,,citation_dante_inferno_6
int_centaur_isidore,creature_centaur,source_etymologies,,,,,,,,,,,,citation_isidore_7
int_centaur_ovid,creature_centaur,source_ovidius_metamorphoses,Eurytus,,archetype_raw_instinct;archetype_predatory_lust;archetype_violence,function_instigator,,,,,,,genesis_centaur_ovid,citation_ovid_met_12
int_centaur_rowling_fantastic,creature_centaur,source_fantastic_beasts,,,archetype_enigma;archetype_wisdom,,,,ability_healing;ability_magical_powers,,,,,citation_rowling_9
int_centaur_rowling_harry,creature_centaur,source_harry_potter_book_1,Firenze,,archetype_enigma;archetype_wisdom,function_guide;function_protector,,,,,,,,citation_rowling_10
int_cerberus_apollodorus,creature_cerberus,source_biblioteca,,,archetype_guardian_hell,function_obstacle,,,,,,,,citation_apollodorus_5
int_cerberus_blake,creature_cerberus,source_cerberus_blake,,,,,,,,,,,,
int_cerberus_dante,creature_cerberus,source_dante_inferno,,"""Il mostro è descritto con occhi rossi, i peli del muso sporchi e neri, il ventre largo e le zampe artigliate; emette latrati che assordano i dannati e ciò acuisce il loro tormento.""",archetype_guardian_hell,function_guardian,,,,,,habitat_hell,,citation_dante_inferno_8
int_cerberus_esiodo,creature_cerberus,source_teogonia,,,archetype_guardian_hell,function_guardian,part_fifty_dog_heads,part_three_heads_dog;part_snakes_hair,,,,,genesis_cerberus_esiodo,citation_esiodo_6
int_cerberus_ovid,creature_cerberus,source_ovidius_metamorphoses,,,,,,,ability_poisonous,,,,,citation_ovid_met_10
int_cerberus_virgil,creature_cerberus,source_aeneid,,,archetype_guardian_hell,function_obstacle,,,,,,,,citation_virgil_1
int_chimera_esiodo,creature_chimera,source_teogonia,,,archetype_chaos;archetype_violence;archetype_shameful_offspring,,,,,,,,genesis_chimera_esiodo,citation_esiodo_5
int_chimera_fullmetal_alchemist,creature_chimera,source_fullmetal_alchemist,,"The chimera is produced through human transmutation, a forbidden alchemical act. The product is a new, combined creature which inherits features and attributes from both of its original base organisms.",archetype_shameful_offspring;archetype_scientific_transgression,function_guardian,part_lizard_lower_body;part_lizard_tail,part_goat_lower_body;part_snake_tail,,ability_fire_breathing,,,genesis_chimera_fullmetal,
int_chimera_moreau,creature_chimera,source_chimera_moreau,The Chimera,,archetype_sublime;archetype_seduction,,part_human_upper_body;part_horse_lower_body;part_wings,part_lion_upper_body;part_lion_head;part_goat_lower_body;part_snake_tail,ability_fly,ability_fire_breathing,,,,
int_chimera_omero,creature_chimera,source_iliade_omero,,,archetype_divine_punishment;archetype_violence,function_obstacle,part_dragon_tail,part_snake_tail;part_goat_head,,,,,,citation_omero_2
int_chimera_statue,creature_chimera,source_chimera_d_arezzo_statue,,,,,,,,,,,,
int_dragon_beowulf,creature_dragon,source_beowulf,,,archetype_evil,,,,ability_accumulate_treasures,,,,,citation_beowulf_1
int_dragon_chen,creature_dragon,source_nine_dragons_chen,,,archetype_divine_power,,,part_wings,ability_weather_control,ability_fire_breathing,,,,
int_dragon_doré,creature_dragon,source_destruction_doré,,,archetype_chaos,function_antagonist,,part_wings;part_legs,,,,Aquatic,,
int_dragon_ende,creature_dragon,source_unendliche_geschichte,Falkor,,,function_guide;function_protector,part_lower_limbs;part_lion_head,part_wings,ability_sing;ability_swim_in_air,ability_fly,,habitat_fantastica;Aerial,,citation_ende_2
