source_id,type,bestiary_type,title,person_id,date_created,date_display,language,influenced_by,cites,interpretation_id,source_url
source_abduction_ganymede,VisualArtwork,,The Abduction of Ganymede,person_rembrandt,1635,1635,,,source_ovidius_metamorphoses,int_eagle_rembrandt,https://artsandculture.google.com/asset/the-abduction-of-ganymede/2gGzDAOK1Yk7xg?hl=en
source_aberdeen_bestiary,Bestiary,MoralAllegory,The Aberdeen Bestiary,,1200,c. 1200,la,,,int_eagle_aberdeen;int_lion_aberdeen;int_phoenix_aberdeen;int_snake_aberdeen;int_unicorn_aberdeen,
source_aeneid,LiteraryWork,,Aeneid,person_virgil,-29/-18,29 – 18 BCE,la,,,int_cerberus_virgil,
source_ancient_egypt,Tradition,,,,,,,,,,
source_andersen,LiteraryWork,,Den lille Havfrue,person_andersen,1837,1837,da,,,int_siren_andersen,
source_atalanta_fugiens,LiteraryWork,,Atalanta Fugiens,person_maier,1617,1617,la,,source_mito_edipo,int_sphinx_maier;int_lion_maier,
source_attack_on_titan,CinematicWork,,Attack on Titan,"person_araki, person_koizuka, person_hayashi, person_shishido",2013/2023,2013 - 2023,ja,,,int_giant_attack_on_titan,
source_ave_phoenice,LiteraryWork,,De Ave Phoenice,person_lattanzio,299,c. 300 ,la,,,int_phoenix_lattanzio,
source_barbie,CinematicWork,,Barbie and the Magic of Pegasus,person_richardson ,2005,2005,en ,,,int_pegaso_barbie,https://www.imdb.com/it/title/tt0480345/?ref_=ext_shr_lnk
source_beowulf,LiteraryWork,,Beowulf,,701/800,8th century,ang,,,int_dragon_beowulf,
source_bible,LiteraryWork,,Bible,,-999/125,1000 BCE – 125 AD,"hbo, arc, grc",,,int_giant_bible,
source_biblioteca,LiteraryWork,,Biblioteca,person_p_apollodoro,-199/0,1st – 2nd century BCE,grc,,,int_giant_apollodorus;int_lion_apollodorus;int_medusa_apollodoro,
source_book_of_invations,LiteraryWork,,The Book of Invasions,,1001/1100,11th century,mga,,,int_fairy_celtic,
source_camera_giganti,VisualArtwork,,Camera dei Giganti,person_romano,1532/1535,1532 – 1535,,source_biblioteca;source_ovidius_metamorphoses,,int_giant_camera_dei_giganti,https://www.centropalazzote.it/camera-dei-giganti/
source_canterbury_tales,LiteraryWork,,The Canterbury Tales,person_chaucer,1400,1400,en ,,,int_fairy_chaucer,
source_celtic_folklore,Tradition,,,,,,,,,,
source_cerberus_blake,VisualArtwork,,Cerberus,person_blake,1824/7,1824 – 7,,source_dante_inferno,,int_cerberus_blake,https://www.tate.org.uk/art/artworks/blake-cerberus-n03354
source_chimera_d_arezzo_statue,VisualArtwork,,Chimera d'Arezzo,,-399/-300,4th century BCE,,source_teogonia,,int_chimera_statue,https://catalogo.beniculturali.it/detail/ArchaeologicalProperty/0900512595
source_chimera_moreau,VisualArtwork,,The Chimera,person_moreau,1867,1867,,,,int_chimera_moreau,https://hvrd.art/o/230201
source_cinderella_perrault,LiteraryWork,,Stories or Tales from Past Times,person_perrault,1697,1697,fr,,,int_fairy_perrault,
source_claudio_phoenix,LiteraryWork,,Phoenix,person_claudio,400,c. 400,la,source_ovidius_metamorphoses,,int_phoenix_claudio,
source_dante_inferno,LiteraryWork,,Inferno,person_dante,1308,c. 1308,it,source_ovidius_metamorphoses,,int_centaur_dante;int_centaur_dante2;int_lion_dante;int_medusa_dante;int_minotaur_dante;int_phoenix_dante;int_snake_dante,
source_dante_paradiso,LiteraryWork,,Paradiso,person_dante,1321,c. 1321,it,source_ovidius_metamorphoses,,int_eagle_dante,
source_destruction_doré,VisualArtwork,,The Destruction of Leviathan,person_doré,1865,1865,,,,int_dragon_doré,https://upload.wikimedia.org/wikipedia/commons/9/9d/Destruction_of_Leviathan.png
source_devil_dictionary,LiteraryWork,,The Devil's Dictionary,person_bierce,1906,1906,en,,,int_hippogriff_bierce,
source_erodoto_histories,LiteraryWork,,Histories,person_erodoto,-439/-428,440 – 429 BCE,grc,AncientEgypt,,int_phoenix_erodoto,
source_etymologies,LiteraryWork,,Etymologiae,person_isidore,625,625,la,,,int_antlion_isidore;int_basilisk_isidore;int_centaur_isidore;int_fish_isidore;int_goat_isidore;int_onocentaur_isidore;int_scorpion_isidore;int_unicorn_isidore,
source_fantastic_beasts,LiteraryWork,,Fantastic Beasts and Where to Find Them,person_rowling,2001,2001,en,,,int_basilisk_rowling_fantastic;int_centaur_rowling_fantastic;int_dragon_rowling_fantastic;int_hippogriff_rowling_fantastic;int_phoenix_rowling;int_sphinx_rowling_fantastic,
source_flaubert_tentation,LiteraryWork,,La tentation de Saint-Antoine,person_flaubert,1874,1874,fr,source_tentazione_brueghel,,int_antlion_flaubert;int_manticore_flaubert;int_sphinx_flaubert,
source_frammenti_esiodo,LiteraryWork,,Del catalogo delle donne,person_esiodo,-699/-600,7th century BCE,grc,,,int_satyr_esiodo,
source_fullmetal_alchemist,CinematicWork,,Fullmetal Alchemist: Brotherhood,person_irie,2009/2010,2009 – 2010,ja,,,,
source_gospodinov_fisica_della_malinconia,LiteraryWork,,Fisica della malinconia,person_gospodinov,2011,2011,bg,,,int_minotaur_gospodinov,
source_got_2,LiteraryWork,,A Clash of Kings,person_g_martin,1998,1998,en,,,int_dragon_martin,
source_great_sphinx,VisualArtwork,,Great Sphinx of Giza,,-2499,c. 2500 BCE,,,,int_sphinx_egypt,https://www.britannica.com/topic/Great-Sphinx
source_greek_mythology,Tradition,,,,,,,,,,
source_greek_natural_history,Tradition,,,,,,,,,,
source_harry_potter_book_1,LiteraryWork,,Harry Potter and the Philosopher's Stone,person_rowling,1997,1997,en,source_fantastic_beasts,,int_centaur_rowling_harry,
source_harry_potter_book_2,LiteraryWork,,Harry Potter and the Chamber of Secrets,person_rowling,1998,1998,en,source_fantastic_beasts,,int_basilisk_rowling_harry,
source_harry_potter_book_3,LiteraryWork,,Harry Potter and the Prisoner of Azkaban,person_rowling,1999,1999,en,source_fantastic_beasts,,int_hippogriff_rowling_harry,
source_harry_potter_book_4,LiteraryWork,,Harry Potter and the Goblet of Fire,person_rowling,2000,2000,en,source_fantastic_beasts,,int_dragon_rowling_harry;int_sphinx_rowling_harry,
source_harry_potter_movie_2,CinematicWork,,Harry Potter and the Chamber of Secrets,person_columbus,2002,2002,en,,,int_mandrake_rowling,https://www.imdb.com/it/title/tt0295297/
source_head_of_medusa,VisualArtwork,,The Head of Medusa,person_rubens,1617/1618 ,1617 – 1618 ,,,,int_medusa_rubens,https://www.khm.at/en/artworks/the-head-of-medusa-1626
source_hercules_nemean_lion,VisualArtwork,,Hercules Strangling the Nemean Lion,person_rubens,1639,1639,,,source_biblioteca,int_lion_rubens,https://harvardartmuseums.org/collections/object/178555
